Episode,Reward,Length,Epsilon
203,-46.84911453932279,113,0.3596735257153405
204,-82.05105684327407,167,0.3578751580867638
205,-7.484156201502941,100,0.35608578229633
206,-106.29484508394162,149,0.3543053533848483
207,-120.16042147196266,100,0.35253382661792404
208,-82.42387575013203,113,0.3507711574848344
209,-99.6943049724118,196,0.34901730169741024
210,-76.63269552582666,186,0.3472722151889232
211,-293.66203993116426,456,0.3455358541129786
212,-84.47443926537937,167,0.3438081748424137
213,-56.583435584252356,102,0.3420891339682016
214,-133.67992834917936,233,0.3403786882983606
215,-114.72040520973826,92,0.3386767948568688
216,-1.4298907832801149,134,0.33698341088258443
217,-246.8094980412899,282,0.3352984938281715
218,-86.00115517378134,128,0.33362200135903064
219,-177.3293367221954,120,0.33195389135223546
220,-165.5782096937887,225,0.3302941218954743
221,-240.43641883180493,139,0.32864265128599696
222,-0.06905138452034976,107,0.326999438029567
223,-307.796786596944,221,0.3253644408394192
224,-55.08063050632011,123,0.3237376186352221
225,-61.877320851421366,88,0.322118930542046
226,-149.56180909195956,182,0.32050833588933575
227,-56.169632012894205,179,0.31890579420988907
228,-238.97848642330004,272,0.3173112652388396
229,-254.54140753071638,444,0.3157247089126454
230,-56.36352852330732,142,0.3141460853680822
231,-87.4688331881131,207,0.3125753549412418
232,-106.28345576896994,98,0.31101247816653554
233,-209.85645254744435,282,0.30945741577570285
234,-124.9758871136746,130,0.3079101286968243
235,-63.48946379473992,95,0.3063705780533402
236,-235.3287569748964,88,0.30483872516307353
237,7.537046541394005,117,0.3033145315372582
238,-160.22121241153852,109,0.3017979588795719
239,-230.79249787715003,136,0.30028896908517405
240,-235.61620810757304,127,0.2987875242397482
241,-250.18126117978096,340,0.29729358661854943
242,-164.17070134841563,198,0.29580711868545667
243,-199.90884725899105,127,0.2943280830920294
244,-160.26917044339396,241,0.29285644267656924
245,-76.11291285195095,103,0.2913921604631864
246,-298.28848506673035,315,0.28993519966087045
247,-50.79155208390737,107,0.2884855236625661
248,-119.58206238403082,131,0.28704309604425327
249,-139.1556296578585,115,0.285607880564032
250,-280.37003469588944,460,0.28417984116121187
251,-171.94411819952967,181,0.2827589419554058
252,-73.60036825829613,159,0.28134514724562876
253,-198.18247228992226,248,0.2799384215094006
254,-100.67000618438803,104,0.27853872940185365
255,-44.666792983033304,186,0.27714603575484437
256,-63.50220572252786,134,0.2757603055760701
257,-175.76897869142147,586,0.2743815040481898
258,-150.25720687014714,505,0.2730095965279488
259,-156.41571680282442,170,0.27164454854530906
260,-66.77396595082676,182,0.2702863258025825
261,-251.93908866883334,287,0.2689348941735696
262,-11.217155322063277,171,0.26759021970270175
263,-81.56551940099847,164,0.2662522686041882
264,-208.61376085337537,277,0.2649210072611673
265,-209.01621413063913,328,0.26359640222486147
266,-113.67795415411298,195,0.26227842021373715
267,-184.76085496869536,333,0.2609670281126685
268,-189.60455581475048,173,0.25966219297210513
269,-137.0352953021097,419,0.2583638820072446
270,14.575234090183287,91,0.2570720625972084
271,-297.0569295438502,234,0.25578670228422234
272,-88.47133634370222,496,0.25450776877280124
273,-184.9614324112377,328,0.2532352299289372
274,-213.3493468551989,246,0.2519690537792925
275,-173.202338342622,303,0.2507092085103961
276,-90.82069011551175,129,0.2494556624678441
277,-259.44361911607814,199,0.24820838415550486
278,-163.54536594406943,87,0.24696734223472733
279,-100.05397791108341,267,0.2457325055235537
280,-303.923803909802,222,0.24450384299593592
281,-220.06787367365203,136,0.24328132378095624
282,-103.38755900866767,79,0.24206491716205145
283,-156.9068922759693,229,0.2408545925762412
284,-220.67792194887875,135,0.23965031961336
285,-174.99707370530135,134,0.2384520680152932
286,-223.8652329871791,342,0.23725980767521673
287,-24.905826345957166,111,0.23607350863684065
288,-216.60312030399285,100,0.23489314109365644
289,-132.18723143912587,140,0.23371867538818816
290,-104.03348952748132,199,0.23255008201124722
291,-90.88233807688539,149,0.231387331601191
292,-244.89686598195172,435,0.23023039494318503
293,48.24583704676496,103,0.2290792429684691
294,-166.7710939551211,340,0.22793384675362674
295,-88.63283667919588,102,0.22679417751985861
296,-61.002998843851785,138,0.22566020663225933
297,-317.0004419087844,456,0.22453190559909803
298,14.774163673147399,117,0.22340924607110255
299,-254.49405525686458,162,0.22229219984074702
300,-148.06585879277927,159,0.2211807388415433
301,-209.45597896766114,232,0.22007483514733558
302,-201.39404159407604,98,0.2189744609715989
303,-177.9000832134962,229,0.2178795886667409
304,-141.9486452419858,217,0.2167901907234072
305,-170.19917702638617,168,0.21570623976979014
306,8.582388526528376,202,0.21462770857094118
307,-222.9317468585285,597,0.21355457002808648
308,-181.50364186463895,86,0.21248679717794605
309,-23.572119118795484,332,0.21142436319205632
310,-91.9001904442371,103,0.21036724137609603
311,-208.47027533001145,626,0.20931540516921554
312,-283.4896104142665,291,0.20826882814336947
313,-261.0509310923831,180,0.20722748400265262
314,-221.07869503137735,143,0.20619134658263935
315,-218.4141108511274,418,0.20516038984972615
316,-201.99018999277536,170,0.2041345879004775
317,-314.44763753814425,486,0.2031139149609751
318,-175.65581073257272,377,0.20209834538617025
319,5.035324564142712,102,0.2010878536592394
